Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,LeBron James,27,MIA,1074,1210,0.888,77.03030303,57.15151515,4,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,19.090625,0.298,11.83049242,11,62,46,14.5,7.6
2,Kevin Durant,23,OKC,889,1210,0.735,82,58.39393939,3,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,15.16658333,0.23,7.6428,5.2,66,47,12.2,4.6
3,CP3,26,LAC,385,1210,0.318,74.54545455,49.6969697,9,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,17.28696667,0.278,8.19,7.9,60,40,12.7,5.4
4,Kobe,33,LAL,352,1210,0.291,72.06060606,50.93939394,6,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,8.68175,0.132,3.515847222,2.3,58,41,6.2,2.4
5,Tony P.,29,SAS,331,1210,0.274,74.54545455,62.12121212,2,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,9.7062375,0.177,2.699318182,1.7,60,50,7.1,1.8
6,Kevin Love,23,MIN,58,1210,0.048,68.33333333,32.3030303,21,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,14.857375,0.223,4.841145833,4.5,55,26,10,3.5
7,Dwight Howard,26,ORL,13,1210,0.011,67.09090909,45.96969697,12,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,11.71182083,0.179,4.089395455,3.8,54,37,7.7,3
8,Rajon Rondo,25,BOS,12,1210,0.01,65.84848485,48.45454545,10,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,7.6275375,0.121,2.15941875,1.3,53,39,4.9,1.6
9,Steve Nash,37,PHO,7,1210,0.006,77.03030303,41,18,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,7.7736,0.144,1.150287879,-0.5,62,33,5.9,0.7
10,Dwyane Wade,30,MIA,6,1210,0.005,60.87878788,57.15151515,4,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,12.87468333,0.227,4.176891162,6.3,49,46,7.7,3.4
